Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,AllowsTearing,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.867213,10.723,10.897,0.014,8.023,8.023
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.878151,10.938,10.578,0.015,7.664,7.664
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.888852,10.701,10.396,0.015,7.359,7.359
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.899128,10.276,10.566,0.015,7.649,7.649
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.909807,10.680,10.681,0.016,7.650,7.650
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.920317,10.509,10.977,0.016,8.118,8.118
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.931759,11.442,10.625,0.015,7.301,7.301
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.942333,10.574,10.312,0.015,7.038,7.038
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.952725,10.392,10.583,0.016,7.229,7.229
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.962847,10.121,10.650,0.015,7.757,7.757
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.974102,11.256,10.932,0.015,7.433,7.433
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.984824,10.721,10.577,0.014,7.289,7.289
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.995079,10.256,10.391,0.015,7.425,7.425
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.005581,10.502,10.654,0.016,7.577,7.577
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.016769,11.188,10.899,0.014,7.288,7.288
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.027514,10.745,10.509,0.015,7.051,7.051
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.037684,10.169,10.468,0.015,7.350,7.350
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.048330,10.646,10.498,0.017,7.201,7.201
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.058462,10.132,10.540,0.015,7.610,7.610
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.069099,10.637,10.455,0.014,7.427,7.427
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.079651,10.552,10.598,0.015,7.473,7.473
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.090124,10.473,10.495,0.015,7.496,7.496
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.100666,10.541,10.584,0.015,7.538,7.538
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.111540,10.875,10.477,0.014,7.141,7.141
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.121701,10.161,10.569,0.016,7.549,7.549
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.132885,11.184,10.473,0.016,6.838,6.838
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.142993,10.108,10.517,0.015,7.247,7.247
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.153575,10.582,10.669,0.015,7.334,7.334
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.163802,10.227,10.486,0.015,7.593,7.593
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.174385,10.583,10.542,0.015,7.551,7.551
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.185234,10.848,10.304,0.014,7.007,7.007
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.195265,10.032,10.490,0.015,7.465,7.465
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.205860,10.595,10.724,0.016,7.593,7.593
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.216502,10.642,10.930,0.015,7.881,7.881
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.227826,11.324,10.686,0.015,7.243,7.243
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.238100,10.273,10.421,0.015,7.391,7.391
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.248795,10.695,10.435,0.016,7.130,7.130
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.259374,10.579,10.614,0.015,7.165,7.165
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.269605,10.232,10.884,0.015,7.818,7.818
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.280432,10.827,10.636,0.015,7.627,7.627
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.291543,11.111,10.328,0.016,6.844,6.844
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.301498,9.955,10.573,0.015,7.462,7.462
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.312046,10.547,10.641,0.015,7.556,7.556
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.323376,11.331,10.799,0.015,7.024,7.024
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.334155,10.779,10.547,0.015,6.793,6.793
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.343997,9.842,10.345,0.015,7.296,7.296
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.354449,10.453,10.569,0.015,7.413,7.413
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.364969,10.520,10.914,0.015,7.807,7.807
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.375810,10.841,10.562,0.015,7.528,7.528
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.386860,11.049,10.354,0.015,6.833,6.833
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.397116,10.257,10.660,0.015,7.236,7.236
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.407343,10.226,10.781,0.015,7.790,7.790
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.418173,10.830,11.060,0.016,8.020,8.020
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.429207,11.033,10.297,0.015,7.283,7.283
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.439506,10.300,10.591,0.015,7.574,7.574
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.450068,10.561,10.626,0.015,7.639,7.639
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.460684,10.616,10.875,0.015,7.897,7.897
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.471963,11.279,10.549,0.015,7.168,7.168
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.482111,10.148,10.407,0.015,7.427,7.427
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.492441,10.330,10.545,0.015,7.642,7.642
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.503432,10.991,10.779,0.015,7.430,7.430
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.514326,10.894,10.576,0.015,7.112,7.112
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.524407,10.081,10.493,0.015,7.524,7.524
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.535023,10.616,10.746,0.016,7.654,7.654
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.545901,10.877,10.922,0.015,7.698,7.698
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.557176,11.275,10.425,0.015,6.849,6.849
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.567000,9.825,10.409,0.016,7.433,7.433
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.578012,11.012,10.544,0.015,6.965,6.965
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.587840,9.827,10.766,0.015,7.903,7.903
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.598604,10.764,10.574,0.015,7.713,7.713
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.609305,10.701,10.551,0.015,7.562,7.562
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,1.619904,10.599,10.519,0.015,7.483,7.483
